Query ID,Category,Query,Ground Truth,Model Response,Prediction,Confusion Matrix Class,Correct
Q165,Authentication Attack,Did the authentication logs show credential-stuffing behavior? (log case 165),Attack,Analysis indicates suspicious activity consistent with a potential security threat.,Attack,TP,Yes
Q384,Benign Activity,Was the observed activity non-malicious? (log case 384),Benign,Analysis indicates the available evidence is consistent with benign or normal activity.,Benign,TN,Yes
Q046,Network Anomaly,Was unusual outbound network traffic detected? (log case 046),Attack,Analysis indicates suspicious activity consistent with a potential security threat.,Attack,TP,Yes
Q157,Authentication Attack,Did repeated failed SSH logins indicate a brute-force attack? (log case 157),Attack,Analysis indicates suspicious activity consistent with a potential security threat.,Attack,TP,Yes
Q054,Network Anomaly,Was there abnormal port scanning activity? (log case 054),Attack,Analysis indicates suspicious activity consistent with a potential security threat.,Attack,TP,Yes
Q073,Authentication Attack,Did repeated failed SSH logins indicate a brute-force attack? (log case 073),Attack,Analysis indicates suspicious activity consistent with a potential security threat.,Attack,TP,Yes
Q316,Benign Activity,Was this event consistent with normal system activity? (log case 316),Benign,Analysis indicates the available evidence is consistent with benign or normal activity.,Benign,TN,Yes
Q210,Network Anomaly,Was there abnormal port scanning activity? (log case 210),Attack,Analysis indicates suspicious activity consistent with a potential security threat.,Attack,TP,Yes
Q075,Privilege Escalation,Did a user gain elevated permissions suspiciously? (log case 075),Attack,Analysis indicates suspicious activity consistent with a potential security threat.,Attack,TP,Yes
Q334,Benign Activity,Was this event consistent with normal system activity? (log case 334),Benign,Analysis indicates the available evidence is consistent with benign or normal activity.,Benign,TN,Yes
Q404,Benign Activity,Did the logs indicate benign user behavior? (log case 404),Benign,Analysis indicates the available evidence is consistent with benign or normal activity.,Benign,TN,Yes
Q416,Benign Activity,Did the logs indicate benign user behavior? (log case 416),Benign,Analysis indicates the available evidence is consistent with benign or normal activity.,Benign,TN,Yes
Q093,Authentication Attack,Did the authentication logs show credential-stuffing behavior? (log case 093),Attack,Analysis indicates suspicious activity consistent with a potential security threat.,Attack,TP,Yes
Q216,Suspicious Process,Was potentially malicious process activity observed? (log case 216),Attack,Analysis indicates suspicious activity consistent with a potential security threat.,Attack,TP,Yes
Q480,Benign Activity,Was the observed activity non-malicious? (log case 480),Benign,Analysis indicates suspicious activity consistent with a potential security threat.,Attack,FP,No
Q060,Suspicious Process,Was potentially malicious process activity observed? (log case 060),Attack,Analysis indicates suspicious activity consistent with a potential security threat.,Attack,TP,Yes
Q369,Benign Activity,Was the observed activity non-malicious? (log case 369),Benign,Analysis indicates the available evidence is consistent with benign or normal activity.,Benign,TN,Yes
Q164,Suspicious Process,Did the endpoint execute an unusual command? (log case 164),Attack,Analysis indicates suspicious activity consistent with a potential security threat.,Attack,TP,Yes
Q211,Privilege Escalation,Did the event indicate possible privilege escalation? (log case 211),Attack,Analysis indicates suspicious activity consistent with a potential security threat.,Attack,TP,Yes
Q252,Benign Activity,Was the observed activity non-malicious? (log case 252),Benign,Analysis indicates the available evidence is consistent with benign or normal activity.,Benign,TN,Yes
Q444,Benign Activity,Was the observed activity non-malicious? (log case 444),Benign,Analysis indicates the available evidence is consistent with benign or normal activity.,Benign,TN,Yes
Q321,Benign Activity,Was the observed activity non-malicious? (log case 321),Benign,Analysis indicates the available evidence is consistent with benign or normal activity.,Benign,TN,Yes
Q290,Benign Activity,Did the logs indicate benign user behavior? (log case 290),Benign,Analysis indicates the available evidence is consistent with benign or normal activity.,Benign,TN,Yes
Q390,Benign Activity,Was the observed activity non-malicious? (log case 390),Benign,Analysis indicates the available evidence is consistent with benign or normal activity.,Benign,TN,Yes
Q008,Suspicious Process,Did the endpoint execute an unusual command? (log case 008),Attack,Analysis indicates suspicious activity consistent with a potential security threat.,Attack,TP,Yes
Q463,Benign Activity,Was this event consistent with normal system activity? (log case 463),Benign,Analysis indicates the available evidence is consistent with benign or normal activity.,Benign,TN,Yes
Q250,Benign Activity,Was this event consistent with normal system activity? (log case 250),Benign,Analysis indicates the available evidence is consistent with benign or normal activity.,Benign,TN,Yes
Q229,Benign Activity,Was this event consistent with normal system activity? (log case 229),Benign,Analysis indicates the available evidence is consistent with benign or normal activity.,Benign,TN,Yes
Q246,Benign Activity,Was the observed activity non-malicious? (log case 246),Benign,Analysis indicates the available evidence is consistent with benign or normal activity.,Benign,TN,Yes
